term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
abbiegen,,turn,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abend,,evening,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abendessen,,dinner,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abendkleidung,,evening dress,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abenteuer,,adventure,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
aber,,but,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abfahren,,leave (irr.),,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abfall,,waste,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abfliegen,,start,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abgabe,,tax,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abgehoben,,withdrawn,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abgenutzt,,worn-out,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abgeordneter,,representative,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abgrenzung,,boundary,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abhang,,slope,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abhängen,,depend,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abhängig,,dependent,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abhängigkeit,,dependence,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abhärten,,harden,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abklären,,clear,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abkühlen,,cool,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
ablehnen,,refuse,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Ablehnung,,refusal,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abmachung,,arrangement,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abnahme,,lessening,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abnehmen,,decrease,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abnutzen,,wear down,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abnutzung,,wear,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abrechnung,,account,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Abreise,,departure,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
abreisen,,start,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
